clave_conceptual,termino_preferido_provisional,variantes,numero_variantes,apariciones,capas,fuentes_distintas,fuentes,tipos_evidencia,definiciones_explicitas,estado_10_3,canonizado,mef_dic_id
full compatibility,Full Compatibility,Full Compatibility,1,3,ENG,3,ENG-016;ENG-031;ENG-062,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
full container access,Full Container Access,Full Container Access,1,1,ENG,1,ENG-028,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
full context audit,Full Context Audit,Full Context Audit,1,1,ENG,1,ENG-051,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
full dr exercise,Full DR Exercise,Full DR Exercise,1,1,ENG,1,ENG-076,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
full ethic review,Full Ethics Review,Full Ethics Review,1,1,ENG,1,ENG-084,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
full flush culture,Full Flush Culture,Full Flush Culture,1,1,ENG,1,ENG-037,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
full health endpoint,Full Health Endpoint,Full Health Endpoint,1,1,ENG,1,ENG-069,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
full profiling,Full Profiling,Full Profiling,1,1,ENG,1,ENG-080,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
full runtime context,Full Runtime Context,Full Runtime Context,1,1,ENG,1,ENG-028,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
full sampling,Full Sampling,Full Sampling,1,1,ENG,1,ENG-026,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
full scan,Full Scan,Full Scan,1,1,ENG,1,ENG-079,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
full synchronization,Full Synchronization,Full Synchronization,1,1,ENG,1,ENG-047,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
function creep,Function Creep,Function Creep,1,1,ENG,1,ENG-084,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
function creep detection,Function Creep Detection,Function Creep Detection,1,1,ENG,1,ENG-084,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
functional check,Functional Check,Functional Check,1,1,ENG,1,ENG-069,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
functional recovery check,Functional Recovery Check,Functional Recovery Check,1,1,ENG,1,ENG-076,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
fusionar entity distinta,Fusionar Entities distintas,Fusionar Entities distintas,1,1,ENG,1,ENG-079,DEFINICION_EXPLICITA,1,BAJA_SEÑAL,NO,NO_ASIGNADO
future dynamic runtime,Future Dynamic Runtime,Future Dynamic Runtime,1,1,ENG,1,ENG-027,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
future-dated leaver,Future-Dated Leaver,Future-Dated Leaver,1,1,ENG,1,ENG-047,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
fuzz testing,Fuzz Testing,Fuzz Testing,1,5,ENG,5,ENG-009;ENG-031;ENG-036;ENG-037;ENG-044,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
fuzzing,Fuzzing,Fuzzing,1,1,ENG,1,ENG-024,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
fuzzy matching,Fuzzy Matching,Fuzzy Matching,1,1,ENG,1,ENG-079,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
gap violation automatically,Gap ≠ Violation Automatically,Gap ≠ Violation Automatically,1,1,ENG,1,ENG-083,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
garbage collection,Garbage Collection,Garbage Collection,1,2,ENG,2,ENG-026;ENG-077,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
gate,Gate,Gate,1,1,ENG,1,ENG-017,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
gate bypass,Gate Bypass,Gate Bypass,1,1,ENG,1,ENG-012,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
gate decision,Gate Decision,Gate Decision,1,2,ENG,2,ENG-081;ENG-085,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
gate duration,Gate Duration,Gate Duration,1,2,ENG,2,ENG-066;ENG-067,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
gate evaluation window,Gate Evaluation Window,Gate Evaluation Window,1,1,ENG,1,ENG-069,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
gate evidence,Gate Evidence,Gate Evidence,1,1,ENG,1,ENG-017,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
gate failure,Gate Failure,Gate Failure,1,4,ENG,4,ENG-017;ENG-066;ENG-067;ENG-077,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
gate input,Gate Inputs,Gate Inputs,1,10,ENG,8,ENG-073;ENG-074;ENG-075;ENG-077;ENG-078;ENG-079;ENG-083;ENG-084,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
gate ordering,Gate Ordering,Gate Ordering,1,1,ENG,1,ENG-017,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
gate override,Gate Override,Gate Override,1,11,ENG,9,ENG-066;ENG-067;ENG-074;ENG-075;ENG-077;ENG-078;ENG-079;ENG-080;ENG-083,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
gate probe,Gate ≠ Probe,Gate ≠ Probe,1,1,ENG,1,ENG-069,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
gate requirement,Gate Requirement,Gate Requirement,1,1,ENG,1,ENG-072,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
gate result,Gate Result,Gate Result,1,3,ENG,3,ENG-017;ENG-083;ENG-084,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
gate severity,Gate Severity,Gate Severity,1,2,ENG,2,ENG-012;ENG-080,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
gate test,Gate Test,Gate Test,1,1,ENG,1,ENG-083,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
gate threshold,Gate Threshold,Gate Threshold; Gate Thresholds,2,3,ENG,3,ENG-066;ENG-067;ENG-069,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
gate trigger,Gate Triggers,Gate Triggers,1,1,ENG,1,ENG-082,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
gate use case,Gate Use Cases,Gate Use Cases,1,1,ENG,1,ENG-085,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
gate warning,Gate Warning,Gate Warning,1,1,ENG,1,ENG-017,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
gateway,Gateway,Gateway,1,1,ENG,1,ENG-061,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
gateway application authorization,Gateway ≠ Application Authorization,Gateway ≠ Application Authorization,1,1,ENG,1,ENG-044,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
gateway authorization only,Gateway Authorization Only,Gateway Authorization Only,1,1,ENG,1,ENG-044,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
gateway contract,Gateway Contract,Gateway Contract,1,1,ENG,1,ENG-061,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
gateway responsibility,Gateway Responsibility,Gateway Responsibility,1,1,ENG,1,ENG-044,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
gauge,Gauge,Gauge,1,1,ENG,1,ENG-025,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
gc durability impact,GC Durability Impact,GC Durability Impact,1,1,ENG,1,ENG-077,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
gen-001,GEN-001,GEN-001,1,1,ENG,1,ENG-008,TABLA_COLUMNA_PRINCIPAL,0,BAJA_SEÑAL,NO,NO_ASIGNADO
gen-002,GEN-002,GEN-002,1,1,ENG,1,ENG-008,TABLA_COLUMNA_PRINCIPAL,0,BAJA_SEÑAL,NO,NO_ASIGNADO
gen-003,GEN-003,GEN-003,1,1,ENG,1,ENG-008,TABLA_COLUMNA_PRINCIPAL,0,BAJA_SEÑAL,NO,NO_ASIGNADO
gen-004,GEN-004,GEN-004,1,1,ENG,1,ENG-008,TABLA_COLUMNA_PRINCIPAL,0,BAJA_SEÑAL,NO,NO_ASIGNADO
gen-005,GEN-005,GEN-005,1,1,ENG,1,ENG-008,TABLA_COLUMNA_PRINCIPAL,0,BAJA_SEÑAL,NO,NO_ASIGNADO
gen-006,GEN-006,GEN-006,1,1,ENG,1,ENG-008,TABLA_COLUMNA_PRINCIPAL,0,BAJA_SEÑAL,NO,NO_ASIGNADO
gen-007,GEN-007,GEN-007,1,1,ENG,1,ENG-008,TABLA_COLUMNA_PRINCIPAL,0,BAJA_SEÑAL,NO,NO_ASIGNADO
gen-008,GEN-008,GEN-008,1,1,ENG,1,ENG-008,TABLA_COLUMNA_PRINCIPAL,0,BAJA_SEÑAL,NO,NO_ASIGNADO
gen-009,GEN-009,GEN-009,1,1,ENG,1,ENG-008,TABLA_COLUMNA_PRINCIPAL,0,BAJA_SEÑAL,NO,NO_ASIGNADO
gen-010,GEN-010,GEN-010,1,1,ENG,1,ENG-008,TABLA_COLUMNA_PRINCIPAL,0,BAJA_SEÑAL,NO,NO_ASIGNADO
generador,Generadores,Generadores,1,2,ENG,1,ENG-008,ENCABEZADO;TERMINO_DESTACADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
generated artifact,Generated Artifacts,Generated Artifacts,1,3,ENG,3,ENG-005;ENG-012;ENG-031,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
generated artifact reproducibility,Generated Artifact Reproducibility,Generated Artifact Reproducibility,1,1,ENG,1,ENG-031,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
generated client adapter,Generated Client/Adapter,Generated Client/Adapter,1,1,ENG,1,ENG-021,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
generated code,Generated Code,Generated Code,1,3,ENG,3,ENG-021;ENG-031;ENG-062,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
generated code marker,Generated Code Marker,Generated Code Marker,1,1,ENG,1,ENG-008,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
generated code modification,Generated Code Modification,Generated Code Modification,1,1,ENG,1,ENG-062,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
generated code trust,Generated Code Trust,Generated Code Trust,1,1,ENG,1,ENG-057,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
generated di,Generated DI,Generated DI,1,1,ENG,1,ENG-018,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
generated documentation,Generated Documentation,Generated Documentation,1,4,ENG,4,ENG-018;ENG-028;ENG-036;ENG-075,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
generated empty test,Generated Empty Tests,Generated Empty Tests,1,1,ENG,1,ENG-009,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
generated evidence,Generated Evidence,Generated Evidence,1,1,ENG,1,ENG-083,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
generated garbage,Generated Garbage,Generated Garbage,1,1,ENG,1,ENG-008,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
generated index,Generated Index,Generated Index,1,3,ENG,2,ENG-057;ENG-058,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
generated metadata,Generated Metadata,Generated Metadata,1,4,ENG,4,ENG-008;ENG-019;ENG-020;ENG-057,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
generated packag,Generated Packages,Generated Packages,1,1,ENG,1,ENG-006,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
generated release note,Generated Release Notes,Generated Release Notes,1,1,ENG,1,ENG-017,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
generated schema,Generated Schema,Generated Schema,1,1,ENG,1,ENG-031,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
generated semantic,Generated ≠ Semantic,Generated ≠ Semantic,1,1,ENG,1,ENG-036,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
generated specification,Generated Specification,Generated Specification,1,1,ENG,1,ENG-044,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
generated validator,Generated Validator,Generated Validator,1,1,ENG,1,ENG-036,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
generated vs committed,Generated vs Committed,Generated vs Committed,1,1,ENG,1,ENG-006,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
generated-managed,generated-managed,generated-managed,1,2,ENG,1,ENG-008,CODIGO_INLINE;ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
generated-once,generated-once,generated-once,1,2,ENG,1,ENG-008,CODIGO_INLINE;ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
generation context,Generation Context,Generation Context,1,1,ENG,1,ENG-008,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
generation lock,Generation Lock,Generation Lock,1,1,ENG,1,ENG-008,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
generation phase,Generation Phase,Generation Phase,1,1,ENG,1,ENG-012,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
generation plan,Generation Plan,Generation Plan,1,1,ENG,1,ENG-008,TERMINO_DESTACADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
generation purpose,Generation Purpose,Generation Purpose,1,1,ENG,1,ENG-058,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
generation reproducibility,Generation Reproducibility,Generation Reproducibility,1,1,ENG,1,ENG-062,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
generation source of truth,Generation Source of Truth,Generation Source of Truth,1,1,ENG,1,ENG-062,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
generation test,Generation Test,Generation Test,1,2,ENG,2,ENG-058;ENG-062,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
