clave_conceptual,termino_preferido_provisional,variantes,numero_variantes,apariciones,capas,fuentes_distintas,fuentes,tipos_evidencia,definiciones_explicitas,estado_10_3,canonizado,mef_dic_id
eng-011,ENG-011,ENG-011,1,6,ENG,5,ENG-000;ENG-005;ENG-006;ENG-011;ENG-049,CODIGO_INLINE;DEFINICION_EXPLICITA;ENCABEZADO;TABLA_COLUMNA_PRINCIPAL;TERMINO_DESTACADO,2,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
eng-014 - versionado,ENG-014 — Versionado,ENG-014 — Versionado,1,4,ENG,4,ENG-002;ENG-003;ENG-004;ENG-014,TERMINO_DESTACADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
eng-015,ENG-015,ENG-015,1,7,ENG,6,ENG-000;ENG-015;ENG-025;ENG-028;ENG-052;ENG-053,DEFINICION_EXPLICITA;ENCABEZADO;TABLA_COLUMNA_PRINCIPAL,5,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
eng-018,ENG-018,ENG-018,1,2,ENG,1,ENG-018,DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
eng-021,ENG-021,ENG-021,1,3,ENG,1,ENG-021,DEFINICION_EXPLICITA;ENCABEZADO,2,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
eng-022,ENG-022,ENG-022,1,2,ENG,2,ENG-022;ENG-041,DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
eng-024,ENG-024,ENG-024,1,2,ENG,2,ENG-024;ENG-045,DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
eng-027,ENG-027,ENG-027,1,3,ENG,2,ENG-027;ENG-055,DEFINICION_EXPLICITA;ENCABEZADO,2,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
eng-028,ENG-028,ENG-028,1,6,ENG,1,ENG-028,DEFINICION_EXPLICITA;ENCABEZADO,5,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
eng-029,ENG-029,ENG-029,1,3,ENG,2,ENG-029;ENG-060,DEFINICION_EXPLICITA;ENCABEZADO,2,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
eng-031,ENG-031,ENG-031,1,4,ENG,1,ENG-031,DEFINICION_EXPLICITA;ENCABEZADO,3,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
eng-032,ENG-032,ENG-032,1,2,ENG,2,ENG-032;ENG-041,DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
eng-033,ENG-033,ENG-033,1,3,ENG,1,ENG-033,DEFINICION_EXPLICITA,3,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
eng-040,ENG-040,ENG-040,1,3,ENG,2,ENG-040;ENG-041,DEFINICION_EXPLICITA;ENCABEZADO;TERMINO_DESTACADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
eng-041,ENG-041,ENG-041,1,5,ENG,1,ENG-041,DEFINICION_EXPLICITA;ENCABEZADO;TERMINO_DESTACADO,3,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
eng-042,ENG-042,ENG-042,1,3,ENG,1,ENG-042,DEFINICION_EXPLICITA;ENCABEZADO;TERMINO_DESTACADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
eng-044,ENG-044,ENG-044,1,4,ENG,3,ENG-044;ENG-045;ENG-061,DEFINICION_EXPLICITA;ENCABEZADO;TERMINO_DESTACADO,2,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
eng-053,ENG-053,ENG-053,1,3,ENG,1,ENG-053,DEFINICION_EXPLICITA;ENCABEZADO;TERMINO_DESTACADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
eng-054,ENG-054,ENG-054,1,5,ENG,3,ENG-054;ENG-068;ENG-071,DEFINICION_EXPLICITA;ENCABEZADO;TERMINO_DESTACADO,3,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
eng-055,ENG-055,ENG-055,1,3,ENG,2,ENG-055;ENG-068,DEFINICION_EXPLICITA;ENCABEZADO;TERMINO_DESTACADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
eng-055 --- lifecycle management engineering,ENG-055 --- Lifecycle Management Engineering,ENG-055 --- Lifecycle Management Engineering,1,2,ENG,1,ENG-100,DEFINICION_EXPLICITA;TERMINO_DESTACADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
eng-057,ENG-057,ENG-057,1,3,ENG,1,ENG-057,DEFINICION_EXPLICITA;ENCABEZADO;TERMINO_DESTACADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
eng-058 --- discovery engineering,ENG-058 --- Discovery Engineering,ENG-058 --- Discovery Engineering,1,2,ENG,1,ENG-058,DEFINICION_EXPLICITA;TERMINO_DESTACADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
eng-059 --- resolution engineering,ENG-059 --- Resolution Engineering,ENG-059 --- Resolution Engineering,1,2,ENG,2,ENG-058;ENG-059,DEFINICION_EXPLICITA;TERMINO_DESTACADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
eng-061,ENG-061,ENG-061,1,3,ENG,1,ENG-061,DEFINICION_EXPLICITA;ENCABEZADO;TERMINO_DESTACADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
eng-062,ENG-062,ENG-062,1,3,ENG,2,ENG-062;ENG-065,DEFINICION_EXPLICITA;ENCABEZADO;TERMINO_DESTACADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
eng-070,ENG-070,ENG-070,1,3,ENG,1,ENG-070,DEFINICION_EXPLICITA;ENCABEZADO;TERMINO_DESTACADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
eng-077,ENG-077,ENG-077,1,4,ENG,1,ENG-077,DEFINICION_EXPLICITA;ENCABEZADO;TERMINO_DESTACADO,2,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
eng-081,ENG-081,ENG-081,1,5,ENG,1,ENG-081,DEFINICION_EXPLICITA;ENCABEZADO;TERMINO_DESTACADO,3,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
eng-085,ENG-085,ENG-085,1,3,ENG,1,ENG-085,DEFINICION_EXPLICITA;ENCABEZADO;TERMINO_DESTACADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
eng-100,ENG-100,ENG-100,1,3,ENG,1,ENG-100,DEFINICION_EXPLICITA;TERMINO_DESTACADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
entity,Entities,Entities; Entity,2,5,ENG,3,ENG-005;ENG-018;ENG-035,CODIGO_INLINE;ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
